EVERYTHING,,,,Pre-1900,1920s,1930s,1940s,1950s,1970s,1980s,1990s,2000s,2010,2011,2012,2013,2014,2015,2016,QUICK NAVIGATION & LEGEND,,,,"TIMELINE
PLACEMENT
LINKS",REALITY DESIGNATION
,Runaways,,,,2.08,Past Life,,,,0:05:07,,0:07:06,,Flashback: The Magistrate visiting David Ellerh and telling him that he can teach him everything he needs to know,,,,,,,,,,1979,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1980s,,,,,,,,,Clips,,Movies,,Shows,,Episodes,,Approx. Runtime,,,,,,,
,,,,,,,,,,52,,5,,4,,13,,4:53:50,,,,,,,
,Guardians of the Galaxy Vol. 2,,,,,,,,,0:00:36,,0:02:49,,Prologue: Up to the camera traveling through Ego's seed,,,,,,,,,,1980,
,Agents of S.H.I.E.L.D.,,,,7.06,Adapt or Die,,,,0:40:35,,0:41:10,,"NOTE 1: The Agents of S.H.I.E.L.D. 1980s ""Altered History Timeline"" is detailed here.",,,,,,,,,,1982,EARTH-TRN810
,,,,,,,,,,,,,,NOTE 2: This reality has been given the unofficial designation Earth-TRN810 by the Marvel Database.,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 3: The ending of 7.06 and the beginning of 7.08 show parallel events in the lead up to the next time jump. In 7.06 it shows Deke and Mack outside the Zephyr and in 7.08 it shows the events occuring inside. 7.08 also shows a slightly different cut of Mack leaving the Zephyr.,,,,,,,,,,,
,,,,,,,,,,,,,,The team arriving from their time jump up to Mack leaving the Zephyr on his motorcycle and Deke in disbelief,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.08,"After, Before",,,,0:01:02,,0:01:17,,NOTE: This episode contains a flashback. Due to time travel this flashback appears later in time.,,,,,,,,,,,
,,,,,,,,,,,,,,May watching Mack leave up to Deke leaving the Zephyr,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.06,Adapt or Die,,,,0:41:17,,0:41:26,,Mack sitting on his motorcycle staring into the distance,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.08,"After, Before",,,,0:01:18,,0:01:47,,"May telling Jemma and Enoch that Mack isn't back yet up to Jemma radioing Deke, saying ""Deke, where are you?""",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.06,Adapt or Die,,,,0:41:30,,0:41:37,,"Deke answering his radio, saying ""Hey, I said I would check on Mack. Believe it or not, I kind of get what he's going through.""",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.08,"After, Before",,,,0:01:50,,0:01:58,,Jemma responding that they both need to get back ASAP as the jump drive is deteriorating and they're about to jump,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.06,Adapt or Die,,,,0:41:44,,0:41:55,,"Deke hearing Jemma say that the Zephyr is about to jump up to Deke finding Mack and shouting ""Mack, we gotta go! Z1's in trouble!""",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.08,"After, Before",,,,0:01:58,,0:02:03,,"The time jump countdown clock counting down from ""00:03"" and initiating the jump",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.06,Adapt or Die,,,,0:41:56,,0:42:06,,The Zephyr time jumping up to the end of the episode,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.07,The Totally Excellent Adventures of Mack and the D,,,,0:03:54,,0:05:50,,Deke telling Mack that the Zephyr has time traveled up to Mack leaving Deke on his motorcycle,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.07,The Totally Excellent Adventures of Mack and the D,,,,0:01:19,,0:03:46,,Russell playing with a remote controlled robot while at work up to Sibyl printing her picture and introducing herself to Russell,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.07,The Totally Excellent Adventures of Mack and the D,,,,0:05:54,,0:13:32,,Mack driving down a road up to The Deke Squad performing,,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: May interrupts Deke's story here, but he resumes precisely where he left off - meaning there is no noticeable cut with May's interruption removed.",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.07,The Totally Excellent Adventures of Mack and the D,,,,0:13:53,,0:38:50,,Continuation of The Deke Squad's performance up to Mack and Deke walking toward Mack's uncle's house,,,,,,,,,,1983,
,Agents of S.H.I.E.L.D.,,,,7.07,The Totally Excellent Adventures of Mack and the D,,,,0:41:11,,0:42:19,,"A small robot carrying a Time Stream device making its way to Nathaniel Malick, who is now working with Sibyl",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.11,Aftershocks,,,,0:01:00,,0:03:41,,Flashback: Up to Gordon drinking from a bowl,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Jiaying's response to Yat-Sen plays in the next scene. Her dialogue ends at 0:03:43.,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.08,"After, Before",,,,0:02:03,,0:03:06,,The team aboard the Zephyr arriving from their time jump up to them jumping again,,,,,,,,,,,EARTH-TRN810
,Agents of S.H.I.E.L.D.,,,,7.07,The Totally Excellent Adventures of Mack and the D,,,,0:38:51,,0:38:56,,The Zephyr arriving from the time jump,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.08,"After, Before",,,,0:03:07,,0:03:47,,"Yo-Yo asking ""how much time...?"" up to Jemma saying ""I have faith..."" and the Zephyr jumping again",,,,,,,,,,,
,,,,,,,,,,,,,,"NOTE: Included in this clip is the scene of May and Yo-Yo leaving the Zephyr, which is repeated from 7.07.",,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.07,The Totally Excellent Adventures of Mack and the D,,,,0:39:14,,0:41:05,,May and Yo-Yo in the Quinjet up to Mack introducing the new S.H.I.E.L.D. team to Yo-Yo,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.07,The Totally Excellent Adventures of Mack and the D,,,,0:00:50,,0:01:18,,May requesting a full report from Deke,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.07,The Totally Excellent Adventures of Mack and the D,,,,0:13:34,,0:13:52,,May interrupting Deke's story,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.08,"After, Before",,,,0:03:48,,0:24:01,,The Zephyr arriving from the time jump up to the end of the episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 1: Title at 0:04:11 and S.H.I.E.L.D. logo at 0:40:34,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 2: Yo-Yo's story to May is included because she is telling it to May in the present. Yo-Yo's story begins at 0:23:46 and ends at 0:25:20.,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.09,As I Have Always Been,,,,0:00:51,,0:42:05,,NOTE: Because the majority of this episode exists in a time loop it plays out as is.,,,,,,,,,,,
,,,,,,,,,,,,,,Full episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:01:49 and S.H.I.E.L.D. logo at 0:41:12,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.10,Stolen,,,,0:01:02,,0:40:42,,Full episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:03:12 and S.H.I.E.L.D. logo at 0:39:54,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.11,Brand New Day,,,,0:00:47,,0:42:22,,Full episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:02:48 and S.H.I.E.L.D. logo at 0:41:24,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.12,The End is at Hand,,,,0:00:50,,0:42:20,,Full episode,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Title at 0:02:43 and S.H.I.E.L.D. logo at 0:41:28,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.13,What We're Fighting For,,,,0:00:00,,0:15:05,,"Up to Mack saying ""Yeah, I know. I don't believe it, either.""",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 1: Because the audio starts at the beginning of the episode it plays over the page flipping sound effect of the Marvel logo. Video starts at 0:00:12.,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 2: Fitz's Story is included in its entirety (including all of the flashbacks) because he is telling the story to Jemma in the present. Fit's Story begins at 0:07:41 and ends at 0:12:51.,,,,,,,,,,,
,Daredevil,,,,3.09,Revelations,,,,0:02:50,,0:05:15,,"Flashback: Boxing bell, Maggie Grace and two of her fellow novitiates arriving at Jack Murdock's boxing match up to Maggie and Jack kissing in his kitchen",,,,,,,,,,1984,
,,,,,,,,,,,,,,NOTE: Crowd audio begins at 0:02:48.,,,,,,,,,,,
,Luke Cage,,,,2.11,The Creator,,,,0:04:31,,0:08:06,,Flashback: Aerial shots of Jamaica up to Mariah Stokes ordering John McIver to get her a drink before she tells on him,,,,,,,,,,1985,
,Luke Cage,,,,2.11,The Creator,,,,0:19:51,,0:21:15,,Flashback: Molotov cocktails landing in Gwen and John McIver's home up to Mama Mabel walking away,,,,,,,,,,,
,Daredevil,,,,3.09,Revelations,,,,0:05:17,,0:06:43,,Flashback: Maggie Grace staring at the Crucifix on the wall up to Father Lantom leaving,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Father Lantom's dialogue comes in early at 0:06:40.,,,,,,,,,,,
,Loki,,,,S01E02,The Variant,,,,0:01:59,,0:04:46,,"""OSHKOSH, WISCONSIN"",  ""1985"", up to Sylvie dragging C-20 through a Time Door",,,,,,,,,,,
,Loki,,,,S01E02,The Variant,,,,0:08:28,,0:12:15,,"Loki, Mobius and other TVA agents arriving through a Time Door up to the branch being reset",,,,,,,,,,,
,Luke Cage,,,,1.07,Manifest,,,,0:15:25,,0:19:30,,"Flashback: Partiers, Cornell Stokes playing the keyboard in the next room up to Cornell returning to the keyboard and Mama Mabel comforting him",,,,,,,,,,1987,
,Luke Cage,,,,2.11,The Creator,,,,0:29:39,,0:31:42,,"Flashback: Aerial shots of Jamaica, John McIver manning a fruit stand up to Maddah Myrie beginning her Nightshade ritual",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: This montage sequence intercuts with a present-day sequence of John McIver/Bushmaster receiving Nightshade again.,,,,,,,,,,,
,Luke Cage,,,,2.11,The Creator,,,,0:31:47,,0:32:06,,Flashbacks: Nightshade Ritual,,,,,,,,,,,
,Luke Cage,,,,2.11,The Creator,,,,0:32:11,,0:32:19,,,,,,,,,,,,,
,Luke Cage,,,,2.11,The Creator,,,,0:32:28,,0:32:31,,,,,,,,,,,,,
,Luke Cage,,,,2.11,The Creator,,,,0:32:37,,0:32:40,,,,,,,,,,,,,
,Luke Cage,,,,2.11,The Creator,,,,0:32:42,,0:32:45,,,,,,,,,,,,,
,Luke Cage,,,,2.11,The Creator,,,,0:32:50,,0:32:51,,,,,,,,,,,,,
,Luke Cage,,,,2.11,The Creator,,,,0:32:56,,0:33:16,,,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Ingrid Mackintosh's narration of her telling McIver's story to Luke Cage in the present comes in at 0:33:07,,,,,,,,,,,
,Luke Cage,,,,1.07,Manifest,,,,0:28:25,,0:29:46,,"Flashback: Mama Mabel inspecting Sister Boy's injuries up to her saying to Cornell ""You done good. You done good.""",,,,,,,,,,,
,Luke Cage,,,,1.07,Manifest,,,,0:35:08,,0:39:19,,"Flashback: Mama Mabel sitting at the dinner table up to Mama Mabel and Mariah heading back inside and Cornell saying ""Yes, ma'am.""",,,,,,,,,,,
,Ant-Man and the Wasp,,,,,,,,,0:00:00,,0:02:40,,Flashback: Up to Hank Pym hugging young Hope,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: In the present Hank Pym is telling Hope how her mother ended up in the Quantum Realm. This scene incorporates portions of the flashback in Ant-Man that occurs at 0:58:24.,,,,,,,,,,,
,Guardians of the Galaxy,,,,,,,,,0:00:00,,0:03:37,,Prologue: Up to Peter Quill being abducted,,,,,,,,,,1988,
,Agents of S.H.I.E.L.D.,,,,2.08,The Things We Bury,,,,0:21:49,,0:23:52,,"Flashback: End of the timelapse montage, Daniel Whitehall looking out his cell window up to Jiaying screaming as she is taken away",,,,,,,,,,1989,
,Agents of S.H.I.E.L.D.,,,,2.08,The Things We Bury,,,,0:36:53,,0:37:45,,"Flashback: Jiaying, on the operating table, struggling against her bonds up to Whitehall saying to dispose of her body",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Daniel Whitehall's present-day conversation with Grant Ward plays overtop.,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,2.08,The Things We Bury,,,,0:41:39,,0:42:21,,Flashback: Calvin (Cal) Johnson discovering Jiaying's body and vowing revenge,,,,,,,,,,,
,Ant-Man,,,,,,,,,0:00:00,,0:02:09,,Prologue: Hank Pym resigning from S.H.I.E.L.D. ,,,,,,,,,,,
,Captain Marvel,,,,,,,,,1:06:18,,1:11:13,,"Flashback: Black Box audio recording, Carol Danvers piloting and asking Lawson who is after them up to Carol's hand glowing into a white transition effect",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Black Box audio starts at 1:05:59.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1990s,,,,,,,,,Clips,,Movies,,Shows,,Episodes,,Approx. Runtime,,,,,,,
,,,,,,,,,,56,,6,,7,,15,,3:30:21,,,,,,,
,Agents of S.H.I.E.L.D.,,,,5.15,Rise and Shine,,,,0:02:13,,0:11:06,,"Flashback: ""Good morning"" announcement over a speaker up to Hale leaving Whitehall",,,,,,,,,,1990,
,Captain America: Civil War,,,,,,,,,0:00:05,,0:02:03,,Flashback: Up to Bucky turning his motorcycle's headlight on,,,,,,,,,,1991,
,Captain America: Civil War,,,,,,,,,1:12:18,,1:12:52,,"Flashback: Bucky coming up behind the Stark's car on his motorcycle up to Bucky opening the case, revealing the blue serum packages",,,,,,,,,,,
,Captain America: Civil War,,,,,,,,,0:02:35,,0:02:40,,"Flashback: Bucky being told ""Well done soldier.""",,,,,,,,,,,
,Captain America: Civil War,,,,,,,,,1:12:52,,1:14:18,,Flashback: Winter Soldiers being given the serum up to Bucky leading a Russian to safety,,,,,,,,,,,
,Black Panther,,,,,,,,,0:01:45,,0:06:23,,Flashback: Kids playing basketball up to them seeing the Wakandan aircraft leaving,,,,,,,,,,1992,
,Runaways,,,,1.07,Refraction,,,,0:01:05,,0:03:02,,Flashback: A sunset being projected on a screen and the muffled voice of a professor assigning homework up to Victor Stein and Janet giving each other their names,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,7.08,"After, Before",,,,0:24:04,,0:25:12,,Flashback: Young Yo-Yo peeking out from a closet up to her and her cousin rushing out to their dead uncle,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Yo-Yo's narration comes in at 0:25:12.,,,,,,,,,,,
,Daredevil,,,,1.02,Cut Man,,,,0:04:30,,0:08:55,,Flashback: Young Matt Murdock watching his dad box on TV up to Jack Murdock putting his earnings in the lock box,,,,,,,,,,1994,
,Daredevil,,,,1.01,Into the Ring,,,,0:00:13,,0:01:37,,Flashback: Up to Matt screaming that he can't see,,,,,,,,,,,
,Daredevil,,,,1.02,Cut Man,,,,0:13:48,,0:14:24,,Flashback: Matt in the hospital grabbing at the bandages covering his eyes up to him feeling his dad's face,,,,,,,,,,,
,Daredevil,,,,1.01,Into the Ring,,,,0:41:16,,0:42:40,,Flashback: Matt asleep at the kitchen table up to him feeling the wounds on his dad's face,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: At the end of this clip Jack Murdock's dialogue carries over into the next scene. His dialogue ends at 0:42:44.,,,,,,,,,,,
,Daredevil,,,,1.02,Cut Man,,,,0:18:31,,0:22:17,,Flashback: Jack Murdock practicing boxing up to him agreeing to throw a match and Matt overhearing,,,,,,,,,,,
,Daredevil,,,,1.02,Cut Man,,,,0:32:03,,0:35:51,,Flashback: Matt reading his braille textbook aloud to his dad up to Jack leaving Maggie a message telling her that Matt is going to need her,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Matt's dialogue begins at 0:32:00.,,,,,,,,,,,
,Daredevil,,,,1.02,Cut Man,,,,0:43:21,,0:45:40,,"Flashback: Jack Murdock walking down the hall toward the boxing ring in his uniform up to Matt kneeling over his dad's body calling out ""Daddy!""",,,,,,,,,,,
,Daredevil,,,,1.07,Stick,,,,0:10:39,,0:17:23,,Flashback: Matt lying in bed covering his ears in pain up to Matt and Stick sitting on a bench and Matt asking what to call him,,,,,,,,,,1995,
,Captain Marvel,,,,,,,,,0:00:40,,1:06:18,,NOTE: This movie contains a flashback.,,,,,,,,,,,
,,,,,,,,,,,,,,"Up to black box recording, ""Go, Carol! Fly!""",,,,,,,,,,,
,Captain Marvel,,,,,,,,,1:11:13,,1:52:43,,Carol walking outside up to Nick Fury renaming his initiative document,,,,,,,,,,,
,Captain Marvel,,,,,,,,,2:02:44,,2:03:24,,Post-credits scene: Goose vomiting up the Tesseract,,,,,,,,,,,
,Daredevil,,,,1.07,Stick,,,,0:24:48,,0:27:05,,"Flashback: Matt training with Stick, Matt saying ""You're hurting me."" up to Stick twisting Matt around into a hold again",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Matt's dialogue begins at 0:24:47.,,,,,,,,,,,
,Daredevil,,,,1.07,Stick,,,,0:39:00,,0:41:26,,Flashback: Matt dodging Stick's batons up to Stick leaving,,,,,,,,,,,
,Agents of S.H.I.E.L.D.,,,,1.08,The Well,,,,0:32:35,,0:33:19,,Flashback: Grant Ward's younger brother Thomas stuck in a well up to Grant lowering a rope down to him,,,,,,,,,,,
,Avengers: Infinity War,,,,,,,,,0:42:21,,0:44:24,,Flashback: Young Gamora and her mother hiding in a hut up to Thanos giving Gamora a switchblade and Gamora balancing it on her finger,,,,,,,,,,,
,Ant-Man and the Wasp,,,,,,,,,0:45:43,,0:45:52,,"NOTE: During this flashback sequence Ava Starr is telling the story of how she got her powers and how her parents died to Hank, Hope and Scott Lang. The following clips leave out her narration.",,,,,,,,,,,
,,,,,,,,,,,,,,Flashback: Elihas Starr's Quantum Tunnel exploding and knocking him to the ground up to him looking up at it,,,,,,,,,,,
,Ant-Man and the Wasp,,,,,,,,,0:45:54,,0:46:02,,Flashback: Ava running to her father up to the Quantum Tunnel exploding,,,,,,,,,,,
,Ant-Man and the Wasp,,,,,,,,,0:46:42,,0:47:04,,Flashback: Bill Foster visiting Ava,,,,,,,,,,,
,Daredevil,,,,2.12,The Dark at the End of the Tunnel,,,,0:00:13,,0:03:59,,"Flashback: Up to Stick saying to a young Elektra ""Show me what you can really do.""",,,,,,,,,,1996,
,Daredevil,,,,2.12,The Dark at the End of the Tunnel,,,,0:33:40,,0:35:32,,Flashback: Elektra punching a punching bag up to Stick freeing her after killing a fellow member of the chaste,,,,,,,,,,,
,Daredevil,,,,2.12,The Dark at the End of the Tunnel,,,,0:38:34,,0:40:05,,"Flashback: Elektra asking ""Why are they taking so long?"" up to Stick walking away",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 1: Elektra's dialogue begins at 0:38:33.,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 2: Elektra's dialogue comes in early at 0:40:03.,,,,,,,,,,,
,Luke Cage,,,,1.13,You Know My Steez,,,,0:00:15,,0:01:49,,Flashback: Up to young Carl Lucas leaving and young Willis Stryker punching the punching bag,,,,,,,,,,,
,Luke Cage,,,,1.13,You Know My Steez,,,,0:07:01,,0:07:09,,Flashback: Carl continuing to train with Willis in a boxing ring,,,,,,,,,,,
,Luke Cage,,,,1.13,You Know My Steez,,,,0:11:21,,0:11:22,,Flashback: Boxing bell being rung,,,,,,,,,,,
,Luke Cage,,,,1.13,You Know My Steez,,,,0:11:23,,0:13:20,,Flashbacks: Carl Lucas' boxing match,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: This boxing match is intercut with Luke Cage's fight with Diamondback in the present.,,,,,,,,,,,
,Jessica Jones,,,,3.11,A.K.A. Hellcat,,,,0:01:31,,0:03:02,,"Flashback: Young Trish (Patsy) Walker practicing lines with her mother, Dorothy, for an audition up to Dorothy sitting back down and saying ""Again.""",,,,,,,,,,1997,
,,,,,,,,,,,,,,NOTE 1: Trish Walker's present-day eulogy plays overtop of the beginning of this scene. Her dialogue ends at 0:01:35.,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE 2: Trish's dialogue comes in early at 0:03:01.,,,,,,,,,,,
,Jessica Jones,,,,3.11,A.K.A. Hellcat,,,,0:08:19,,0:09:52,,Flashback: Dorothy leading Patsy to the front of the audition line up to Patsy going in for the audition,,,,,,,,,,,
,Jessica Jones,,,,3.11,A.K.A. Hellcat,,,,0:17:22,,0:18:40,,"Flashback: Patsy saying ""It'a a good role."" and Dorothy responding ""You should've told him to wait and talk to me."" up to Patsy calling to offer to read the lead role at the table read",,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Patsy's dialogue begins at 0:17:21.,,,,,,,,,,,
,Jessica Jones,,,,3.11,A.K.A. Hellcat,,,,0:23:07,,0:23:39,,Flashback: Patsy finishing the table read up to everyone applauding,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Patsy's dialogue begins at 0:23:06.,,,,,,,,,,,
,Jessica Jones,,,,3.11,A.K.A. Hellcat,,,,0:31:50,,0:33:40,,Flashback: The director of the show conferring with other production members up to him telling Patsy he has big news for her,,,,,,,,,,,
,Jessica Jones,,,,3.11,A.K.A. Hellcat,,,,0:35:57,,0:37:09,,Flashback: Patsy bowing and walking off stage to her mother up to Dorothy hugging Patsy after telling her how proud she is,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Audience laughter begins at 0:35:56.,,,,,,,,,,,
,Inhumans,,,,1.04,Make Way for... Medusa,,,,0:29:43,,0:29:58,,"Flashback: Agon and Rynda, King and Queen of Attilan, informing young sisters Medusa and Crystal that their parents were traitors and have been banished for trying to lead a revolution",,,,,,,,,,,
,Inhumans,,,,1.04,Make Way for... Medusa,,,,0:15:21,,0:15:41,,Flashback: Medusa and Crystal walking down a hallway holding hands,,,,,,,,,,,
,,,,,,,,,,,,,,NOTE: Medusa's dialogue at the end of the clip plays over the transition back to the present. Her dialogue ends at 0:15:42.,,,,,,,,,,,
,Inhumans,,,,1.03,Divide — and Conquer,,,,0:02:38,,0:03:31,,NOTE: Black Bolt is remembering words his father Agon told him and his brother Maximus. Agon's dialogue begins at 0:02:30 before the memory plays out on screen.,,,,,,,,,,,
,,,,,,,,,,,,,,"Flashback: Agon telling his young sons, Black Bolt and Maximus, about what it means to be King up to Agon saying ""Both my sons are destined for great things."" and Maximus and Black Bolt looking at each other",,,,,,,,,,,
,Inhumans,,,,1.03,Divide — and Conquer,,,,0:32:29,,0:33:25,,"Flashback: Maximus being informed by Kitang that, following his Terrigenesis, he is no longer Inhuman and therefore can never be King",,,,,,,,,,,
,Inhumans,,,,1.03,Divide — and Conquer,,,,0:37:43,,0:39:09,,Flashback: Kitang informing King Agon and Queen Rynda of Black Bolt's new Inhuman ability,,,,,,,,,,,
